ID,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25382,38,37,4/1/2019,31-055,ORL,@,MIN,L (-17),1,31:23:00,3,9,0.333,2,4,0.5,0,0,,1,2,3,6,1,0,2,2,8,6.6,-21
25382,39,38,6/1/2019,31-057,ORL,@,LAC,L (-10),1,24:57:00,3,6,0.5,0,2,0,6,7,0.857,0,0,0,3,2,0,0,0,12,12.7,-4
25382,40,39,7/1/2019,31-058,ORL,@,SAC,L (-16),1,19:24,1,6,0.167,0,3,0,4,4,1,0,2,2,1,1,0,1,1,6,3.1,-5
25382,41,40,9/1/2019,31-060,ORL,@,UTA,L (-13),1,29:44:00,7,11,0.636,3,6,0.5,6,7,0.857,3,0,3,6,0,0,4,0,23,20,-5
25382,42,41,12/1/2019,31-063,ORL,,BOS,W (+2),1,26:49:00,2,6,0.333,2,4,0.5,1,1,1,0,0,0,1,1,0,3,4,7,0.7,-18
25382,43,42,13/1/2019,31-064,ORL,,HOU,W (+7),1,30:43:00,3,7,0.429,1,3,0.333,2,2,1,0,4,4,3,1,0,1,1,9,8.2,10
25382,44,43,16/1/2019,31-067,ORL,@,DET,L (-5),1,32:16:00,6,12,0.5,1,4,0.25,0,0,,1,2,3,7,0,0,0,1,13,12.8,1
25382,45,44,18/1/2019,31-069,ORL,,BRK,L (-2),1,27:32:00,7,10,0.7,2,4,0.5,1,2,0.5,0,1,1,4,0,0,4,3,17,10.3,-5
25382,46,45,19/1/2019,31-070,ORL,,MIL,L (-10),1,28:36:00,5,8,0.625,3,4,0.75,1,2,0.5,0,2,2,7,0,0,1,1,14,14.1,1
25382,47,46,21/1/2019,31-072,ORL,@,ATL,W (+19),1,27:33:00,4,8,0.5,4,6,0.667,3,3,1,0,0,0,4,0,0,3,3,15,9.6,7
25382,48,47,23/1/2019,31-074,ORL,@,BRK,L (-4),1,28:05:00,5,11,0.455,2,5,0.4,7,7,1,2,1,3,6,2,0,2,0,19,19.2,6
25382,49,48,25/1/2019,31-076,ORL,,WAS,L (-4),1,28:21:00,2,6,0.333,1,2,0.5,0,0,,0,4,4,2,0,0,3,1,5,0.8,-9
25382,50,49,27/1/2019,31-078,ORL,@,HOU,L (-5),1,28:11:00,3,9,0.333,2,6,0.333,2,7,0.286,1,1,2,3,1,0,1,2,10,5.2,10
25382,51,50,29/1/2019,31-080,ORL,,OKC,L (-9),1,32:03:00,3,10,0.3,2,5,0.4,3,3,1,2,0,2,5,0,0,1,3,11,7.9,-7
25382,52,51,31/1/2019,31-082,ORL,,IND,W (+7),1,25:09:00,4,8,0.5,2,3,0.667,10,10,1,1,2,3,2,0,0,2,3,20,15.5,-10
25382,53,52,2/2/2019,31-084,ORL,,BRK,W (+13),1,28:58:00,4,7,0.571,1,2,0.5,3,4,0.75,0,3,3,8,2,0,2,1,12,14.4,17
25382,54,53,5/2/2019,31-087,ORL,@,OKC,L (-10),1,31:46:00,2,6,0.333,0,4,0,4,4,1,0,0,0,4,2,0,1,1,8,8,-2
25382,55,54,7/2/2019,31-089,ORL,,MIN,W (+10),1,28:01:00,1,3,0.333,0,1,0,4,4,1,0,1,1,6,1,0,2,1,6,7.4,6
